Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C5",C_Disc_D9.0mm_W2.5mm_P5.00mm,2,0.1uf,
C4,CP_Radial_D10.0mm_P5.00mm,1,1uf,
D1,LED_D5.0mm_Clear,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,voltage_measuring_point,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,to_LED,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,current_measuring_point,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_Coaxial,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Vin,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Vin_relay,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,constant_driven/synched with system,
Q1,TO-220-3_Vertical,1,Q_NPN_BCE,
"R1, R2",R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,2,1k,
R3,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,1M,
R4,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,240,
R5,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,0.4ohm 2W,
RV2,PinHeader_1x03_P2.54mm_Vertical,1,5k,
RV3,PinHeader_1x03_P2.54mm_Vertical,1,10 ohm 2w,
"U1, U2",TO-220-3_Vertical,2,LM350_TO220,
