Designator,Mid X,Mid Y,Rotation,Layer
C3,132.8,-58.1,270.0,top
C4,124.4,-61.9,270.0,top
C5,153.0,-54.75,270.0,top
D1,113.5,-56.25,90.0,top
J1,104.9,-76.4,270.0,top
J2,104.75,-65.25,270.0,top
J3,161.0,-55.7,270.0,top
J4,160.9,-65.1,270.0,top
J5,161.0,-74.9,270.0,top
J7,104.75,-56.5,270.0,top
J8,95.5,-66.0,270.0,top
JP1,175.2,-61.36,0.0,top
Q1,168.82,-56.1,0.0,top
R1,168.7,-61.58,270.0,top
R2,111.25,-80.62,90.0,top
R3,152.75,-64.01,270.0,top
R4,131.6,-72.3,180.0,top
R5,144.6,-60.96,270.0,top
RV2,115.75,-66.25,180.0,top
RV3,137.4,-63.025,180.0,top
U1,121.92,-55.88,0.0,top
U2,142.24,-55.88,0.0,top
